tytuł;WAVE;WSKAŹNIK;WYNIK
100 Rad;341;Druk i E-wydania;359033
100 Rad;342;Druk i E-wydania;144511
100 Rad;343;Druk i E-wydania;243595
100 Rad;344;Druk i E-wydania;219816
100 Rad;345;Druk i E-wydania;236148
100 Rad;346;Druk i E-wydania;313927
100 Rad;347;Druk i E-wydania;308458
100 Rad;348;Druk i E-wydania;353479
100 Rad;349;Druk i E-wydania;433814
100 Rad;350;Druk i E-wydania;363792
100 Rad;350;współczytelnictwo;338176
100 Rad;351;Druk i E-wydania;432782
100 Rad;352;Druk i E-wydania;332111
100 Rad;353;Druk i E-wydania;482054
100 Rad;354;Druk i E-wydania;511049
100 Rad;355;Druk i E-wydania;414650
100 Rad;356;Druk i E-wydania;414650
100 Rad;356;Druk i E-wydania;384753
100 Rad;357;Druk i E-wydania;384753
100 Rad;357;Druk i E-wydania;342297
100 Rad;358;Druk i E-wydania;342297
100 Rad;358;Druk i E-wydania;346002
100 Rad;359;Druk i E-wydania;469387
100 Rad;360;Druk i E-wydania;448352
100 Rad;361;Druk i E-wydania;412757
100 Rad;362;Druk i E-wydania;412757
100 Rad;362;Druk i E-wydania;412757
100 Rad;362;Druk i E-wydania;412757
100 Rad;362;Druk i E-wydania;551389
100 Rad;363;Druk i E-wydania;551389
100 Rad;363;Druk i E-wydania;458454
100 Rad;364;Druk i E-wydania;458454
100 Rad;364;Druk i E-wydania;358666
100 Rad;365;Druk i E-wydania;358666
100 Rad;365;Druk i E-wydania;358666
100 Rad;365;Druk i E-wydania;407351
100 Rad;366;Druk i E-wydania;407351
100 Rad;366;Druk i E-wydania;407351
100 Rad;366;Druk i E-wydania;344807
100 Rad;367;Druk i E-wydania;344807
100 Rad;367;Druk i E-wydania;344807
100 Rad;367;Druk i E-wydania;255244
Cała Ty;341;Druk i E-wydania;265694
Cała Ty;342;Druk i E-wydania;196670
Cała Ty;343;Druk i E-wydania;129855
Cała Ty;344;Druk i E-wydania;492678
Cała Ty;345;Druk i E-wydania;201592
Cała Ty;346;Druk i E-wydania;275926
Cała Ty;347;Druk i E-wydania;211596
Cała Ty;348;Druk i E-wydania;503335
Cała Ty;349;Druk i E-wydania;224947
Cała Ty;350;Druk i E-wydania;308675
Cała Ty;350;współczytelnictwo;114842
Cała Ty;351;Druk i E-wydania;257801
Cała Ty;352;Druk i E-wydania;345563
Cała Ty;353;Druk i E-wydania;331404
Cała Ty;354;Druk i E-wydania;287370
Cała Ty;355;Druk i E-wydania;287370
Cała Ty;356;Druk i E-wydania;376564
Cała Ty;356;Druk i E-wydania;376564
Cała Ty;357;Druk i E-wydania;443738
Cała Ty;357;Druk i E-wydania;443738
Cała Ty;358;Druk i E-wydania;195553
