P;W;G;wartosc
K;1;;0,06137
M;1;;0,0641
K;2;;0,0808
M;2;;0,08259
K;3;;0,10339
M;3;;0,10339
K;4;;0,12736
M;4;;0,12172
K;5;;0,14234
M;5;;0,11295
;;1;0,42545
;;2;0,75072
;;3;0,34694
;;4;0,2303
