tytuł;PISMO;WSKAŹNIK;G;P;W;WYNIK
Gość Niedzielny;;www;0,0;M;2,0;0,07387102492612897
Gość Niedzielny;;www;0,0;M;3,0;0,11229333788770667
Gość Niedzielny;;www;0,0;M;4,0;0,1056811968943188
Gość Niedzielny;;www;0,0;M;5,0;0,09998165890001834
Gość Niedzielny;GOSCN;www;1,0;;;0,38
Gość Niedzielny;GOSCN;www;2,0;;;0,74
Gość Niedzielny;GOSCN;www;3,0;;;0,26
Gość Niedzielny;GOSCN;www;4,0;;;0,18
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;K;1,0;0,03109548468455409
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;K;2,0;0,0996038563764358
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;K;3,0;0,13032536669982742
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;K;4,0;0,26172499335141713
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;K;5,0;0,36097569126268514
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;M;1,0;0,010560287281575887
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;M;2,0;0,011762644045245609
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;M;3,0;0,01128300513491243
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;M;4,0;0,04706535972764311
Kobieta i Życie;KOBIZY;Druk i E-wydania;0,0;M;5,0;0,03560331143570333
Kobieta i Życie;KOBIZY;Druk i E-wydania;1,0;;;0,36
Kobieta i Życie;KOBIZY;Druk i E-wydania;2,0;;;0,7
Kobieta i Życie;KOBIZY;Druk i E-wydania;3,0;;;0,31
Kobieta i Życie;KOBIZY;Druk i E-wydania;4,0;;;0,25
Kobieta i Życie;;www;0,0;K;1,0;0,041472907958527094
Kobieta i Życie;;www;0,0;K;2,0;0,09483354590516645
Kobieta i Życie;;www;0,0;K;3,0;0,19442925680557072
Kobieta i Życie;;www;0,0;K;4,0;0,27710260572289735
Kobieta i Życie;;www;0,0;K;5,0;0,2507043907492956
Kobieta i Życie;;www;0,0;M;1,0;0,010588435989411563
Kobieta i Życie;;www;0,0;M;2,0;0,023159040976840954
Kobieta i Życie;;www;0,0;M;3,0;0,04559038395440961
Kobieta i Życie;;www;0,0;M;4,0;0,03396066596603933
Kobieta i Życie;;www;0,0;M;5,0;0,02815876597184123
Kobieta i Życie;KOBIZY;www;1,0;;;0,42
Kobieta i Życie;KOBIZY;www;2,0;;;0,74
Kobieta i Życie;KOBIZY;www;3,0;;;0,33
Kobieta i Życie;KOBIZY;www;4,0;;;0,26
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;K;1,0;0,03055917936355529
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;K;2,0;0,14732897783958818
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;K;3,0;0,04233477309822586
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;K;4,0;0,15573824798948022
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;K;5,0;0,08225402290293267
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;M;1,0;0,06260960129283885
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;M;2,0;0,048310492816775165
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;M;3,0;0,22040761226543434
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;M;4,0;0,13663036681595253
Kurier Lubelski;KURLUB;Druk i E-wydania;0,0;M;5,0;0,07382672561521693
Kurier Lubelski;KURLUB;Druk i E-wydania;1,0;;;0,46
Kurier Lubelski;KURLUB;Druk i E-wydania;2,0;;;0,81
Kurier Lubelski;KURLUB;Druk i E-wydania;3,0;;;0,11
Kurier Lubelski;KURLUB;Druk i E-wydania;4,0;;;0,25
Kurier Lubelski;;www;0,0;K;1,0;0,035649539
Kurier Lubelski;;www;0,0;K;2,0;0,068398913
Kurier Lubelski;;www;0,0;K;3,0;0,128782258
Kurier Lubelski;;www;0,0;K;4,0;0,199016961
Kurier Lubelski;;www;0,0;K;5,0;0,165881333
Kurier Lubelski;;www;0,0;M;1,0;0,02584271
Kurier Lubelski;;www;0,0;M;2,0;0,058343845
Kurier Lubelski;;www;0,0;M;3,0;0,116292197
Kurier Lubelski;;www;0,0;M;4,0;0,118318417
Kurier Lubelski;;www;0,0;M;5,0;0,083473827
Kurier Lubelski;KURLUB;www;1,0;;;0,46
Kurier Lubelski;KURLUB;www;2,0;;;0,81
Kurier Lubelski;KURLUB;www;3,0;;;0,11
Kurier Lubelski;KURLUB;www;4,0;;;0,25
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;K;1,0;0,029903409484313567
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;K;2,0;0,13101924508314178
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;K;3,0;0,22743016086084047
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;K;4,0;0,08452042322056694
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;K;5,0;0,1255915850500251
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;M;1,0;0,0318947177355403
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;M;2,0;0,0
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;M;3,0;0,17679064903467204
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;M;4,0;0,08832538062880424
Kurier Poranny;KURPOR;Druk i E-wydania;0,0;M;5,0;0,1045244289020956
Kurier Poranny;KURPOR;Druk i E-wydania;1,0;;;0,55
Kurier Poranny;KURPOR;Druk i E-wydania;2,0;;;0,64
Kurier Poranny;KURPOR;Druk i E-wydania;3,0;;;0,31
Kurier Poranny;KURPOR;Druk i E-wydania;4,0;;;0,54
Kurier Poranny;;www;0,0;K;1,0;0,031051378
Kurier Poranny;;www;0,0;K;2,0;0,059448254
Kurier Poranny;;www;0,0;K;3,0;0,123579617
Kurier Poranny;;www;0,0;K;4,0;0,18760339
Kurier Poranny;;www;0,0;K;5,0;0,147294107
Kurier Poranny;;www;0,0;M;1,0;0,031422138
Kurier Poranny;;www;0,0;M;2,0;0,077576287
Kurier Poranny;;www;0,0;M;3,0;0,138986658
Kurier Poranny;;www;0,0;M;4,0;0,118781084
Kurier Poranny;;www;0,0;M;5,0;0,084257087
Kurier Poranny;KURPOR;www;1,0;;;0,52
Kurier Poranny;KURPOR;www;2,0;;;0,68
Kurier Poranny;KURPOR;www;3,0;;;0,32
Kurier Poranny;KURPOR;www;4,0;;;0,46
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;K;1,0;0,036421266692462956
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;K;2,0;0,09055945677198696
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;K;3,0;0,12905691824625828
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;K;4,0;0,1558993548497636
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;K;5,0;0,15996995287057508
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;M;1,0;0,005084951364716955
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;M;2,0;0,0707941686006732
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;M;3,0;0,06896095691704827
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;M;4,0;0,16412097239159879
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;0,0;M;5,0;0,1191320012949159
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;1,0;;;0,43
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;2,0;;;0,8
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;3,0;;;0,26
Magazyn Telewizyjny Kurier TV;MAGKUR;Druk i E-wydania;4,0;;;0,29
Magazyn Telewizyjny Kurier TV;MAGKUR;www;1,0;;;0,46
Magazyn Telewizyjny Kurier TV;MAGKUR;www;2,0;;;0,78
Magazyn Telewizyjny Kurier TV;MAGKUR;www;3,0;;;0,35
Magazyn Telewizyjny Kurier TV;MAGKUR;www;4,0;;;0,26
Mam Ogród;MOGROD;Druk i E-wydania;0,0;K;1,0;0,0171207872847797
Mam Ogród;MOGROD;Druk i E-wydania;0,0;K;2,0;0,051001519128795546
Mam Ogród;MOGROD;Druk i E-wydania;0,0;K;3,0;0,12636403821657427
Mam Ogród;MOGROD;Druk i E-wydania;0,0;K;4,0;0,25594420984282495
Mam Ogród;MOGROD;Druk i E-wydania;0,0;K;5,0;0,20070544856599623
Mam Ogród;MOGROD;Druk i E-wydania;0,0;M;1,0;0,00482756160282927
Mam Ogród;MOGROD;Druk i E-wydania;0,0;M;2,0;0,041466373958565936
Mam Ogród;MOGROD;Druk i E-wydania;0,0;M;3,0;0,07477466257542478
Mam Ogród;MOGROD;Druk i E-wydania;0,0;M;4,0;0,10421244469956342
Mam Ogród;MOGROD;Druk i E-wydania;0,0;M;5,0;0,12358295412464579
Mam Ogród;MOGROD;Druk i E-wydania;1,0;;;0,48
Mam Ogród;MOGROD;Druk i E-wydania;2,0;;;0,81
Mam Ogród;MOGROD;Druk i E-wydania;3,0;;;0,26
Mam Ogród;MOGROD;Druk i E-wydania;4,0;;;0,28
Mam Ogród;MOGROD;www;1,0;;;0,46
Mam Ogród;MOGROD;www;2,0;;;0,78
Mam Ogród;MOGROD;www;3,0;;;0,35
Mam Ogród;MOGROD;www;4,0;;;0,26
Motor;MOTOR;Druk i E-wydania;0,0;K;1,0;0,02608331737684141
Motor;MOTOR;Druk i E-wydania;0,0;K;2,0;0,028429528880317502
Motor;MOTOR;Druk i E-wydania;0,0;K;3,0;0,03966339953410701
Motor;MOTOR;Druk i E-wydania;0,0;K;4,0;0,028331304657149205
Motor;MOTOR;Druk i E-wydania;0,0;K;5,0;0,0283804172824315
Motor;MOTOR;Druk i E-wydania;0,0;M;1,0;0,012945636175521223
Motor;MOTOR;Druk i E-wydania;0,0;M;2,0;0,13507122636486626
Motor;MOTOR;Druk i E-wydania;0,0;M;3,0;0,23336385768833587
Motor;MOTOR;Druk i E-wydania;0,0;M;4,0;0,2782587694510418
Motor;MOTOR;Druk i E-wydania;0,0;M;5,0;0,18947254258938823
Motor;MOTOR;Druk i E-wydania;1,0;;;0,52
Motor;MOTOR;Druk i E-wydania;2,0;;;0,86
Motor;MOTOR;Druk i E-wydania;3,0;;;0,34
Motor;MOTOR;Druk i E-wydania;4,0;;;0,24
Motor;MOTOR;www;1,0;;;0,52
Motor;MOTOR;www;2,0;;;0,86
Motor;MOTOR;www;3,0;;;0,34
Motor;MOTOR;www;4,0;;;0,24
Murator;MURATO;Druk i E-wydania;0,0;K;1,0;0,015243418049279403
Murator;MURATO;Druk i E-wydania;0,0;K;2,0;0,07103280211027832
Murator;MURATO;Druk i E-wydania;0,0;K;3,0;0,04552164040264546
Murator;MURATO;Druk i E-wydania;0,0;K;4,0;0,07022918825731057
Murator;MURATO;Druk i E-wydania;0,0;K;5,0;0,09298441606070294
Murator;MURATO;Druk i E-wydania;0,0;M;1,0;0,010226347562109956
Murator;MURATO;Druk i E-wydania;0,0;M;2,0;0,11199796471626353
Murator;MURATO;Druk i E-wydania;0,0;M;3,0;0,17891364112239225
Murator;MURATO;Druk i E-wydania;0,0;M;4,0;0,23075875188890552
Murator;MURATO;Druk i E-wydania;0,0;M;5,0;0,1730918298301121
Murator;MURATO;Druk i E-wydania;1,0;;;0,53
Murator;MURATO;Druk i E-wydania;2,0;;;0,87
Murator;MURATO;Druk i E-wydania;3,0;;;0,31
Murator;MURATO;Druk i E-wydania;4,0;;;0,34
Murator;;www;0,0;K;1,0;0,029110144
Murator;;www;0,0;K;2,0;0,076896375
Murator;;www;0,0;K;3,0;0,118686431
Murator;;www;0,0;K;4,0;0,177089675
Murator;;www;0,0;K;5,0;0,165204635
Murator;;www;0,0;M;1,0;0,031613321
Murator;;www;0,0;M;2,0;0,081420289
Murator;;www;0,0;M;3,0;0,121915066
Murator;;www;0,0;M;4,0;0,108026681
Murator;;www;0,0;M;5,0;0,090037383
Murator;MURATO;www;1,0;;;0,49
Murator;MURATO;www;2,0;;;0,81
Murator;MURATO;www;3,0;;;0,33
Murator;MURATO;www;4,0;;;0,29
Na Żywo;NAZYWO;Druk i E-wydania;0,0;K;1,0;0,03639060413163617
Na Żywo;NAZYWO;Druk i E-wydania;0,0;K;2,0;0,05908675411797037
Na Żywo;NAZYWO;Druk i E-wydania;0,0;K;3,0;0,1405792970394186
Na Żywo;NAZYWO;Druk i E-wydania;0,0;K;4,0;0,2400014174048657
Na Żywo;NAZYWO;Druk i E-wydania;0,0;K;5,0;0,29660180970625727
Na Żywo;NAZYWO;Druk i E-wydania;0,0;M;1,0;0,01994484905555882
Na Żywo;NAZYWO;Druk i E-wydania;0,0;M;2,0;0,0239904399302252
Na Żywo;NAZYWO;Druk i E-wydania;0,0;M;3,0;0,05725289648713661
Na Żywo;NAZYWO;Druk i E-wydania;0,0;M;4,0;0,08243990900883859
Na Żywo;NAZYWO;Druk i E-wydania;0,0;M;5,0;0,04371202311809263
Na Żywo;NAZYWO;Druk i E-wydania;1,0;;;0,38
Na Żywo;NAZYWO;Druk i E-wydania;2,0;;;0,68
Na Żywo;NAZYWO;Druk i E-wydania;3,0;;;0,34
Na Żywo;NAZYWO;Druk i E-wydania;4,0;;;0,27
Na Żywo;NAZYWO;www;1,0;;;0,46
Na Żywo;NAZYWO;www;2,0;;;0,78
Na Żywo;NAZYWO;www;3,0;;;0,35
Na Żywo;NAZYWO;www;4,0;;;0,26
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;K;1,0;0,042050517419899305
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;K;2,0;0,05793304558652051
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;K;3,0;0,11005251732798664
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;K;4,0;0,10808819445298105
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;K;5,0;0,13580634936226937
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;M;1,0;0,008920953731169778
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;M;2,0;0,08253051512702403
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;M;3,0;0,13841330392175358
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;M;4,0;0,1772953140772735
Newsweek Polska;NEWSWE;Druk i E-wydania;0,0;M;5,0;0,13890928899312224
Newsweek Polska;NEWSWE;Druk i E-wydania;1,0;;;0,58
Newsweek Polska;NEWSWE;Druk i E-wydania;2,0;;;0,88
Newsweek Polska;NEWSWE;Druk i E-wydania;3,0;;;0,49
Newsweek Polska;NEWSWE;Druk i E-wydania;4,0;;;0,25
Newsweek Polska;;www;0,0;K;1,0;0,03641784903641785
Newsweek Polska;;www;0,0;K;2,0;0,06773632806773633
Newsweek Polska;;www;0,0;K;3,0;0,11605807611605806
Newsweek Polska;;www;0,0;K;4,0;0,17016595817016597
Newsweek Polska;;www;0,0;K;5,0;0,16902454316902454
Newsweek Polska;;www;0,0;M;1,0;0,029498683029498683
Newsweek Polska;;www;0,0;M;2,0;0,07234577007234577
Newsweek Polska;;www;0,0;M;3,0;0,1169633101169633
Newsweek Polska;;www;0,0;M;4,0;0,1238606041238606
Newsweek Polska;;www;0,0;M;5,0;0,09792887809792887
Newsweek Polska;NEWSWE;www;1,0;;;0,57
Newsweek Polska;NEWSWE;www;2,0;;;0,87
Newsweek Polska;NEWSWE;www;3,0;;;0,47
Newsweek Polska;NEWSWE;www;4,0;;;0,25
Nostalgia;NOSTA2;Druk i E-wydania;0,0;K;1,0;0,0
Nostalgia;NOSTA2;Druk i E-wydania;0,0;K;2,0;0,048764235147723954
Nostalgia;NOSTA2;Druk i E-wydania;0,0;K;3,0;0,15230621419464066
Nostalgia;NOSTA2;Druk i E-wydania;0,0;K;4,0;0,22828949217595038
Nostalgia;NOSTA2;Druk i E-wydania;0,0;K;5,0;0,29112642016980184
Nostalgia;NOSTA2;Druk i E-wydania;0,0;M;1,0;0,0304509051838221
Nostalgia;NOSTA2;Druk i E-wydania;0,0;M;2,0;0,015137987541675899
Nostalgia;NOSTA2;Druk i E-wydania;0,0;M;3,0;0,08373368010288179
Nostalgia;NOSTA2;Druk i E-wydania;0,0;M;4,0;0,09190865654477573
Nostalgia;NOSTA2;Druk i E-wydania;0,0;M;5,0;0,058282408938727666
Nostalgia;NOSTA2;Druk i E-wydania;1,0;;;0,28
Nostalgia;NOSTA2;Druk i E-wydania;2,0;;;0,58
Nostalgia;NOSTA2;Druk i E-wydania;3,0;;;0,26
Nostalgia;NOSTA2;Druk i E-wydania;4,0;;;0,15
Nostalgia;NOSTA2;www;1,0;;;0,46
Nostalgia;NOSTA2;www;2,0;;;0,78
Nostalgia;NOSTA2;www;3,0;;;0,35
Nostalgia;NOSTA2;www;4,0;;;0,26
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;K;1,0;0,07412781777208305
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;K;2,0;0,0
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;K;3,0;0,033628404192510765
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;K;4,0;0,08732081387743706
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;K;5,0;0,1535320327369219
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;M;1,0;0,030847970189191318
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;M;2,0;0,11979059215090332
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;M;3,0;0,18371281905765494
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;M;4,0;0,046500452490270766
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;0,0;M;5,0;0,27053909753302696
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;1,0;;;0,34
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;2,0;;;0,75
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;3,0;;;0,15
Nowa Trybuna Opolska;TRYBOP;Druk i E-wydania;4,0;;;0,38
Nowa Trybuna Opolska;;www;0,0;K;1,0;0,03444014003444014
Nowa Trybuna Opolska;;www;0,0;K;2,0;0,06317727106317726
Nowa Trybuna Opolska;;www;0,0;K;3,0;0,12284343212284343
Nowa Trybuna Opolska;;www;0,0;K;4,0;0,1973905981973906
Nowa Trybuna Opolska;;www;0,0;K;5,0;0,1795106851795107
Nowa Trybuna Opolska;;www;0,0;M;1,0;0,024343817024343815
Nowa Trybuna Opolska;;www;0,0;M;2,0;0,0631452090631452
Nowa Trybuna Opolska;;www;0,0;M;3,0;0,11610128211610128
Nowa Trybuna Opolska;;www;0,0;M;4,0;0,11416653811416654
Nowa Trybuna Opolska;;www;0,0;M;5,0;0,08488102708488102
Nowa Trybuna Opolska;TRYBOP;www;1,0;;;0,39
Nowa Trybuna Opolska;TRYBOP;www;2,0;;;0,76
Nowa Trybuna Opolska;TRYBOP;www;3,0;;;0,24
Nowa Trybuna Opolska;TRYBOP;www;4,0;;;0,33
Nowiny;NOWINY;Druk i E-wydania;0,0;K;1,0;0,06146858424169495
Nowiny;NOWINY;Druk i E-wydania;0,0;K;2,0;0,09644578475959466
Nowiny;NOWINY;Druk i E-wydania;0,0;K;3,0;0,09378607976978
Nowiny;NOWINY;Druk i E-wydania;0,0;K;4,0;0,11612928337177246
Nowiny;NOWINY;Druk i E-wydania;0,0;K;5,0;0,07639311604015687
Nowiny;NOWINY;Druk i E-wydania;0,0;M;1,0;0,048100636130970695
Nowiny;NOWINY;Druk i E-wydania;0,0;M;2,0;0,12219542520359306
Nowiny;NOWINY;Druk i E-wydania;0,0;M;3,0;0,11230333394651158
Nowiny;NOWINY;Druk i E-wydania;0,0;M;4,0;0,09426432331668702
Nowiny;NOWINY;Druk i E-wydania;0,0;M;5,0;0,17891343321923875
Nowiny;NOWINY;Druk i E-wydania;1,0;;;0,3
Nowiny;NOWINY;Druk i E-wydania;2,0;;;0,6
Nowiny;NOWINY;Druk i E-wydania;3,0;;;0,17
Nowiny;NOWINY;Druk i E-wydania;4,0;;;0,28
Nowiny;;www;0,0;K;1,0;0,03200605103200605
Nowiny;;www;0,0;K;2,0;0,07119447407119446
Nowiny;;www;0,0;K;3,0;0,11832792811832793
Nowiny;;www;0,0;K;4,0;0,16931195016931194
Nowiny;;www;0,0;K;5,0;0,17339389617339387
Nowiny;;www;0,0;M;1,0;0,03289636303289636
Nowiny;;www;0,0;M;2,0;0,07373616407373616
Nowiny;;www;0,0;M;3,0;0,11858124211858125
Nowiny;;www;0,0;M;4,0;0,12052278812052279
Nowiny;;www;0,0;M;5,0;0,09002914309002914
Nowiny;NOWINY;www;1,0;;;0,35
Nowiny;NOWINY;www;2,0;;;0,66
Nowiny;NOWINY;www;3,0;;;0,23
Nowiny;NOWINY;www;4,0;;;0,27
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;K;1,0;0,0
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;K;2,0;0,0706816970706817
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;K;3,0;0,31842873731842875
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;K;4,0;0,17502433517502433
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;K;5,0;0,05033441105033441
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;M;1,0;0,0
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;M;2,0;0,031148931031148932
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;M;3,0;0,0721575030721575
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;M;4,0;0,18011115618011114
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;0,0;M;5,0;0,10211322910211322
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;1,0;;;0,5
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;2,0;;;0,69
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;3,0;;;0,44
Nowości - Dziennik Toruński;NOWTOR;Druk i E-wydania;4,0;;;0,31
Nowości - Dziennik Toruński;;www;0,0;K;1,0;0,023820897
Nowości - Dziennik Toruński;;www;0,0;K;2,0;0,045331407
Nowości - Dziennik Toruński;;www;0,0;K;3,0;0,081684953
Nowości - Dziennik Toruński;;www;0,0;K;4,0;0,187951355
Nowości - Dziennik Toruński;;www;0,0;K;5,0;0,270575587
Nowości - Dziennik Toruński;;www;0,0;M;1,0;0,019233673
Nowości - Dziennik Toruński;;www;0,0;M;2,0;0,048480066
Nowości - Dziennik Toruński;;www;0,0;M;3,0;0,093713508
Nowości - Dziennik Toruński;;www;0,0;M;4,0;0,124460113
Nowości - Dziennik Toruński;;www;0,0;M;5,0;0,104748441
Nowości - Dziennik Toruński;NOWTOR;www;1,0;;;0,48
Nowości - Dziennik Toruński;NOWTOR;www;2,0;;;0,74
Nowości - Dziennik Toruński;NOWTOR;www;3,0;;;0,39
Nowości - Dziennik Toruński;NOWTOR;www;4,0;;;0,28
Olivia;OLIWIA;Druk i E-wydania;0,0;K;1,0;0,08755370167342909
Olivia;OLIWIA;Druk i E-wydania;0,0;K;2,0;0,18887225434062524
Olivia;OLIWIA;Druk i E-wydania;0,0;K;3,0;0,2591184173436098
Olivia;OLIWIA;Druk i E-wydania;0,0;K;4,0;0,22787803911413013
Olivia;OLIWIA;Druk i E-wydania;0,0;K;5,0;0,12444185313284922
Olivia;OLIWIA;Druk i E-wydania;0,0;M;1,0;0,009128911617649805
Olivia;OLIWIA;Druk i E-wydania;0,0;M;2,0;0,019067079209869036
Olivia;OLIWIA;Druk i E-wydania;0,0;M;3,0;0,015659808494456518
Olivia;OLIWIA;Druk i E-wydania;0,0;M;4,0;0,05117539954400262
Olivia;OLIWIA;Druk i E-wydania;0,0;M;5,0;0,017104535529378566
Olivia;OLIWIA;Druk i E-wydania;1,0;;;0,59
Olivia;OLIWIA;Druk i E-wydania;2,0;;;0,84
Olivia;OLIWIA;Druk i E-wydania;3,0;;;0,51
Olivia;OLIWIA;Druk i E-wydania;4,0;;;0,26
Olivia;;www;0,0;K;1,0;0,041472907958527094
Olivia;;www;0,0;K;2,0;0,09483354590516645
Olivia;;www;0,0;K;3,0;0,19442925680557072
Olivia;;www;0,0;K;4,0;0,27710260572289735
Olivia;;www;0,0;K;5,0;0,2507043907492956
Olivia;;www;0,0;M;1,0;0,010588435989411563
Olivia;;www;0,0;M;2,0;0,023159040976840954
Olivia;;www;0,0;M;3,0;0,04559038395440961
Olivia;;www;0,0;M;4,0;0,03396066596603933
Olivia;;www;0,0;M;5,0;0,02815876597184123
Olivia;OLIWIA;www;1,0;;;0,51
Olivia;OLIWIA;www;2,0;;;0,8
Olivia;OLIWIA;www;3,0;;;0,41
Olivia;OLIWIA;www;4,0;;;0,26
Pani;PANI;Druk i E-wydania;0,0;K;1,0;0,018953693773238658
Pani;PANI;Druk i E-wydania;0,0;K;2,0;0,13411013798230256
Pani;PANI;Druk i E-wydania;0,0;K;3,0;0,2239729964816431
Pani;PANI;Druk i E-wydania;0,0;K;4,0;0,31052772581488813
Pani;PANI;Druk i E-wydania;0,0;K;5,0;0,22871136284094878
Pani;PANI;Druk i E-wydania;0,0;M;1,0;0,008546501893551176
Pani;PANI;Druk i E-wydania;0,0;M;2,0;0,0008643366881073715
Pani;PANI;Druk i E-wydania;0,0;M;3,0;0,026172226739918775
Pani;PANI;Druk i E-wydania;0,0;M;4,0;0,02988859241287067
Pani;PANI;Druk i E-wydania;0,0;M;5,0;0,018252425372530766
Pani;PANI;Druk i E-wydania;1,0;;;0,49
Pani;PANI;Druk i E-wydania;2,0;;;0,82
Pani;PANI;Druk i E-wydania;3,0;;;0,47
Pani;PANI;Druk i E-wydania;4,0;;;0,26
Pani;PANI;www;1,0;;;0,49
Pani;PANI;www;2,0;;;0,82
Pani;PANI;www;3,0;;;0,47
Pani;PANI;www;4,0;;;0,26
Pani Domu;PANID2;Druk i E-wydania;0,0;K;1,0;0,03215668530548287
Pani Domu;PANID2;Druk i E-wydania;0,0;K;2,0;0,07586347920616872
Pani Domu;PANID2;Druk i E-wydania;0,0;K;3,0;0,14548467249529937
Pani Domu;PANID2;Druk i E-wydania;0,0;K;4,0;0,25077079827000437
Pani Domu;PANID2;Druk i E-wydania;0,0;K;5,0;0,37949659037652306
Pani Domu;PANID2;Druk i E-wydania;0,0;M;1,0;0,003661090803927875
Pani Domu;PANID2;Druk i E-wydania;0,0;M;2,0;0,014217484935289711
Pani Domu;PANID2;Druk i E-wydania;0,0;M;3,0;0,022903137444123246
Pani Domu;PANID2;Druk i E-wydania;0,0;M;4,0;0,054823962354740546
Pani Domu;PANID2;Druk i E-wydania;0,0;M;5,0;0,02062209880844028
Pani Domu;PANID2;Druk i E-wydania;1,0;;;0,33
Pani Domu;PANID2;Druk i E-wydania;2,0;;;0,66
Pani Domu;PANID2;Druk i E-wydania;3,0;;;0,3
Pani Domu;PANID2;Druk i E-wydania;4,0;;;0,22
Pani Domu;;www;0,0;K;1,0;0,041472907958527094
Pani Domu;;www;0,0;K;2,0;0,09483354590516645
Pani Domu;;www;0,0;K;3,0;0,19442925680557072
Pani Domu;;www;0,0;K;4,0;0,27710260572289735
Pani Domu;;www;0,0;K;5,0;0,2507043907492956
Pani Domu;;www;0,0;M;1,0;0,010588435989411563
